"","gar","gar","gar","gar","zebrafish","zebrafish","zebrafish","zebrafish","medaka","medaka","medaka","medaka","stickleback","stickleback","stickleback","stickleback","esox","esox","esox","esox","central_mudminnow","central_mudminnow","central_mudminnow","central_mudminnow","olympic_mudminnow","olympic_mudminnow","olympic_mudminnow","olympic_mudminnow","grayling1","grayling1","grayling1","grayling1","hucho1","hucho1","hucho1","hucho1","salmon1","salmon1","salmon1","salmon1","charr1","charr1","charr1","charr1","rainbow_trout1","rainbow_trout1","rainbow_trout1","rainbow_trout1","coho1","coho1","coho1","coho1","grayling2","grayling2","grayling2","grayling2","hucho2","hucho2","hucho2","hucho2","salmon2","salmon2","salmon2","salmon2","charr2","charr2","charr2","charr2","rainbow_trout2","rainbow_trout2","rainbow_trout2","rainbow_trout2","coho2","coho2","coho2","coho2"
"1",51.0039362635703,48.9920258824343,50.3983180099739,50.4132140125852,49.6956081116343,48.6234282627023,48.5679038961235,47.3698477410893,52.606531314052,52.1293522417072,50.6879761834133,50.0311745275348,52.5379706203578,50.4884237381432,53.5073305246264,53.0305595981166,52.6460497748155,50.477621755931,50.1375203597368,49.3996458491019,51.0345205993676,50.1611892916984,51.0152658365061,50.0954489420551,53.1192119612503,53.3002280709786,53.6188757961598,53.9589641377281,49.8610767008581,48.2497606051102,49.6875663476829,49.8990055272539,50.1762036504281,50.0791354651122,48.5015258475619,50.2203423236152,50.1015630680777,49.6600534851853,49.9383987360185,49.1439910294329,51.3042698474071,49.8751878318618,51.6395796397101,50.863735431833,48.4915474369656,51.0777702255892,49.3664121818813,48.1357116458077,48.9816379575654,49.6139362742531,50.5023421505448,49.8737611418594,32.8293238412237,31.9270067486847,33.3466188476036,33.1658914540892,33.623092625154,33.6914855427831,33.0118758555593,34.1465198240714,35.3925007027299,35.4031855853258,35.6823107092101,35.8658618117052,36.4610541628453,35.8384098496119,34.0091065818099,37.0863392938159,34.6596957127324,36.1696677619154,34.2944224013422,34.8932141657543,35.6634905963159,35.3872972906679,34.7752849820494,33.3184437382021
"2",51.3003443096575,47.9639747504605,49.6122466277966,50.3946323900331,50.5600156960508,50.840328616756,49.9422712457381,50.8396165068701,50.3243428466875,48.5157306305257,48.2823739918048,48.3340284572534,51.8390004293667,54.9717268461549,51.3318642254793,52.8836966189771,49.2701368500159,49.5084876970247,47.5547379905959,48.5941364906197,53.0826212558612,53.2603125744122,54.2754226699368,53.7872538781957,54.9617092876259,54.551746990386,54.1567224721358,53.2177812707667,47.2962033230416,48.4675886994095,49.9225870001937,48.4858254711312,48.8360571743585,49.8733625457293,49.5388322406927,48.3570363139294,51.113999103375,49.5854212200954,47.0988772549857,50.0180467244287,50.3995861870889,50.0817160826762,49.4539067930964,50.1694651193382,50.7979517948129,51.816219557276,48.9581596538404,50.1952865551189,51.2524993429004,53.2388057315364,50.1671836194554,49.4378331032695,34.4484227438107,33.84401115888,33.1540308942678,34.830395353015,33.2505493156868,33.3263694859181,33.0465780233939,32.8943362957945,36.11403136996,33.3962853903774,35.506149492349,33.8469070463544,33.0050600020028,36.1829985796017,32.8399353175344,34.082300080405,36.8891725700975,34.5506610525621,35.435165206229,32.9571221295295,33.9366083391832,34.5693120864221,34.5727833861362,35.50297954407
"3",52.1945714799845,52.5050973974928,52.1108696790295,52.3568972786605,50.3422050626493,51.4316590326197,52.252717988228,54.8324822200618,51.1445690272901,51.6828351237095,51.2934057589224,51.1728708130386,53.734112126791,52.9273236504368,52.1004372662358,51.4741889751377,53.4182786307961,53.7312120960879,51.5306077185409,49.6588493845279,53.1311773443051,54.609639623105,53.3984916836559,51.9940254964726,52.3858312673009,53.7804844530253,54.8445961834096,54.0719501459863,50.3142083172641,48.7176792002163,48.0411361151357,53.3447691264857,51.8673507758898,52.6418926458766,52.1356128584773,49.6809073484176,54.4529542022439,55.2606231248272,54.0064211717686,52.8119375527836,48.4478519660961,48.0585444294393,47.40931670217,48.449493925294,48.9943897389342,48.265197663952,46.6645416896971,47.9053533532477,49.8758124837416,49.3170527792001,50.3746351304019,48.7821832617454,32.5121790739771,33.1397468230322,33.7186565265732,35.2036221282277,31.6806756560634,31.7638008367485,31.6311510679444,31.8342077197534,32.752900280977,35.140593757926,32.5183478509575,33.0607783982546,35.1637542137035,35.0713425109498,33.9492012379228,35.0275304475131,35.2988612934105,34.7332038493855,33.2571729208974,35.645957283434,34.2947015643674,35.0209489707063,35.1421485457714,34.1065643390067
"4",56.8140969651961,56.6598804668354,56.502344011614,56.4522516919994,47.4836622963836,46.9408858256572,45.4677284336249,47.3105185092932,48.0617633099526,48.886755227866,48.243594273594,47.5521315011584,48.1878925483278,48.0664871322205,50.3124462189348,50.9685212695994,45.2790436815214,45.8223632608785,45.6637657575332,46.7696962251764,45.2236944968235,45.0349712437556,44.3286889268869,42.7681712204464,45.7687806659731,47.7646089163662,47.0476227692402,48.389209136378,52.6907573702389,52.8307888267501,51.7699384409477,50.8885948924534,50.0585084004336,50.1445465672001,49.2726966456927,48.9307887216058,47.056001633454,48.8251133244455,46.0939949902536,48.078683952989,49.9233406147391,49.8723837572784,50.8452877125226,50.0091233252918,50.1698269984378,50.8964677191719,49.0687155756371,50.2035294346947,49.0848385981482,50.1840452696068,51.2002225474298,50.1545884742826,33.6570480359532,34.4492795570096,33.5520933005783,33.4039406990731,37.3466246496702,37.9722053657718,36.5081742857431,35.4353111438461,34.4152963985592,34.8225665896691,34.9953001245473,34.8507103475792,30.8738025864262,32.6975260408387,32.001082200858,32.5741814633141,33.4450552243778,32.1512127625762,33.2691080710706,32.8107621176057,33.0280210753759,31.5196016349965,32.8314739565598,31.4797776872707
"5",46.775200322912,47.8747072330064,49.5154256175085,48.4757145359329,45.2440784549962,46.8907413496978,46.8673047344324,47.514293938224,50.9809178018673,53.1291246293495,53.479253401481,51.8888872726123,54.8061997472935,55.1248789055679,56.1864957885488,56.6661169490455,47.36686016503,49.8487925895296,49.9026875959338,50.0362083503581,52.8328568792094,53.4315523030643,54.2353543734433,52.885629267555,48.6779482946202,47.6096303920646,48.782052151753,48.3353958177202,45.7078980812401,45.5399369501072,45.073461461026,48.6339023415732,49.5056077772875,48.0837318664523,47.8143830240668,49.5040758626959,51.0234431611526,50.4999413786053,51.4325076317865,51.5793980103205,46.8141044266002,44.4845001283693,47.8170113734623,46.7625433891895,44.4258012602219,44.345767943501,45.2760554960786,44.7550186870728,46.6666885001076,47.5851202583656,48.8663942708479,47.3540776177406,32.6718156339373,33.7988342369503,31.5578328725879,34.2294156867499,28.0000654496896,27.2759329785981,27.9893285946072,27.8380837104555,32.0640270646381,32.5803565558068,32.794487037107,31.8068631655016,31.5676714897355,30.7302496850435,30.6487143043905,30.9980975055827,33.473902480173,31.7007491451627,33.1637581832018,32.3291695448496,31.769012452932,31.9581108848958,32.5888947554975,31.7551651974228
"6",47.5413079165531,47.7439166651239,47.7317849606276,47.3317128498515,47.481464888349,46.952148111838,44.6719006661541,44.7406085937559,46.1632199555676,47.7366600225155,47.5563239506846,46.8837662287425,49.4159981513591,49.1640730435336,47.6412215105233,49.1042849367678,51.2672910756633,52.1319194790695,52.5723619239871,53.130174539152,52.8297733067379,51.9686366364266,52.2448672575404,51.5477765745399,50.536924858907,52.1446458515259,51.7819422174151,51.8325086352682,45.6694678331749,47.5184493752189,46.4549929071516,48.8293589602023,46.5316066158691,48.7984788280351,49.0881983510114,49.4432849576445,51.4259382077104,50.0791339031693,51.0732610132462,52.3493490019305,47.8951304963677,50.4566303520934,47.6088464276335,47.2487232656314,49.8055384087019,48.453247879208,49.4670857389332,48.155381766286,47.9672817174659,48.6448544050268,47.8485761200955,49.5320073968275,34.0841442728758,33.1181092414918,35.7803531944046,32.3418814557616,31.5246235296277,31.8160133081263,32.5265263184257,32.2369121749445,34.2497710646896,34.9688984489488,36.5610630625196,36.574364657056,32.9443303566185,33.1911954147792,33.3678287766562,33.8846140287944,35.7616562080971,34.8685291366917,33.1477009816076,33.642966361198,33.2672187209519,32.1813156276815,34.461874115664,32.6676593575291
"7",51.1729081390237,49.7893656711465,51.6693381268584,51.36930979628,49.6658211135409,47.9106486560479,48.4406161221926,49.2524220320821,51.7884565717845,51.6667841335062,50.3217873001974,51.2770523142958,53.5431282418971,54.7916124529648,54.2030040231524,53.9989287593398,50.0705754939585,50.2500743709879,48.5402596346898,50.084926631281,49.1340284302838,47.5660734785551,47.6539999483517,49.0506196288094,50.0612070488371,51.9702847776325,53.1085863497943,50.220447704074,51.0301638042175,51.5856222025151,51.1451746584566,50.4064160480785,48.373346503291,47.9173049820025,46.6655855281023,45.5397906858957,48.3714027871772,49.8648512003745,48.7129972704075,49.038919301019,51.3472424268531,47.968600517807,50.3721987754227,50.9872234934965,52.6015277215801,51.0633774125988,51.1055910599725,51.4371914315932,53.1273588356491,49.9450494625211,49.7374455948823,52.2026245747255,36.0346422171842,35.6823551682683,34.2737540837442,35.361350121835,35.9750997122347,36.0095552506844,36.4736766156228,35.6466472895733,31.2821222698002,31.5136057845787,34.0018651344065,33.098556368016,36.9102942497639,34.2414752042592,37.9051362255121,36.558862627728,35.7879993137851,37.1812724926235,35.2480076293608,35.1218997621573,35.5713507942706,33.0438695787132,35.3961445203814,35.0355085956896
"8",46.5494979082563,46.6015750439777,48.2719700314403,48.4671080695035,46.4511608545904,49.2137669211005,48.3725976318494,47.8704841029205,51.7482915699474,51.0035805065521,51.1981688312979,50.9865069200015,45.7305980937103,45.908089254919,46.0623866140383,45.9970282910734,47.5780646114245,47.6728041119164,46.950956260475,46.3195903560149,51.2066370500825,52.3494351788061,47.9162090981559,53.5239210690255,46.586513710657,46.6802917395256,46.8120805970804,47.717923670632,52.1901048159858,50.0596686094309,51.6023739576812,48.3790501297386,50.9208645418951,51.9073923921086,49.6816153459846,48.8405181139931,52.5902955376631,51.8176056284431,52.7212456910695,52.7680128353254,51.2424135571443,50.2949953885435,51.6278788048844,51.8326178254623,47.4643572812476,49.2529289711487,49.2772762488593,49.566561368926,49.2517208953902,50.5683011742781,50.8046501443735,49.1371900410757,30.6148826806167,30.5320425105108,30.2276650189113,29.5768259878079,28.2667175912762,29.0934536598382,29.9207415104577,28.9730431093025,29.4002716601807,29.0573986683357,29.1144109780671,28.5203598535167,30.3671097957799,30.6293745254032,27.9626408384045,29.6098319692413,27.900259379917,27.6213464013599,28.5983563124898,28.5084105776522,28.4576066092813,28.8147121172269,27.9633674625925,30.592108618133
"9",48.3081963327121,48.1768971373692,47.9111115487613,47.3021066365017,49.1842859067352,48.947902598778,48.4804541690722,49.6720476846667,46.6242189053715,49.8949138452806,49.8083687731406,49.1095548588353,50.3939850926749,49.6003827391926,50.8997174087169,49.7240694826806,43.1233989639127,42.540109295149,44.1027947336755,42.7591288282736,44.4650054852483,43.2795721988144,44.0812701205416,44.3525259151615,39.8568252862034,43.3347455338516,40.7220964196935,40.240153389366,48.0485639172634,47.2297214800952,46.9738556772046,47.5852634528958,44.7139350161919,44.0940841462948,43.2217932573342,45.0797571634789,46.2487216339804,44.915085017247,46.4718295700105,45.6037278457109,45.0295039811661,44.6178290867778,43.7117501352594,45.5114683060631,44.6254406979505,44.4110547694454,43.3840640075049,44.3280489611449,43.6217775802079,46.2438889126077,42.3522440323902,43.8132432888019,26.6268647417268,27.9715564190694,26.56499547012,25.7293154709998,30.1705637138354,29.4841633209007,30.2923296146014,29.5498795590847,29.1027236365064,28.8123474131484,29.1113521827353,28.8436998488875,31.11216483083,30.0739951209893,30.432631908472,29.9605915729375,29.4468469683285,31.7126281294344,29.0719708097104,30.4296439538133,31.0414763999384,29.6778338359711,28.8901888541082,31.0528571199867
"10",47.0988530346811,47.3648254753375,47.8647052516308,47.0465243227569,47.6646996765201,46.4995561212301,45.24850683328,44.9391164532864,48.7313294434205,45.5366336344694,45.7351588919954,45.569972200722,48.1347204584162,49.5121811899294,48.8835128490136,47.7427986693861,51.0382570247685,54.2295151101017,53.9759151853053,52.1929187166638,52.59436295563,53.2170227494518,51.6976530689846,50.8278571356087,55.3186291766987,54.8733249060878,54.3388446091344,55.9445671032235,48.0400418958747,47.5931826492841,47.7843236489993,49.3839569389371,47.6356513086472,49.0478708011126,48.1883132592724,48.1339598247895,46.2668747900625,46.7001510497857,47.8869323817459,46.6647221961387,47.5051818489526,48.2866871605002,46.2616567218651,47.5917184791861,47.2736213003826,48.5973640795746,47.7960216180232,47.4001636320246,46.1687549387544,48.5360362011631,45.907793834999,47.476151354999,36.9207693717832,37.3655707338619,36.1109821070176,36.2028007656763,29.0268496248744,29.5022884176089,29.7158855022063,28.508851284322,30.0212669711211,31.4042924022121,31.7260873516937,30.5522716936682,28.4285015740841,28.3303978514475,29.4316931437867,28.5151871304442,30.0663989829062,30.9097913374279,31.2441210415733,31.0336375405476,28.5099585002829,30.7827824376225,31.3930039334989,29.6516801779738
