"","x"
"1",7.32111114857815
"2",-5.19344858040347
"3",0.0276977217249623
"4",0.0184795850767046
"5",3.39678056654463
"6",0.0120435404164141
"7",0.48419402263039
"8",7.09310514149698
"9",-1.86433217654445
"10",3.10965290694367
"11",1.35659755548872
"12",1.49836314299887
"13",-2.51427407432396
"14",3.63236323549023
"15",0.0394202872649601
"16",2.12438248652126
"17",0.371139976716336
"18",0.0794701828070856
"19",1.11274566609643
"20",0.279025906607217
"21",0.2311878028911
"22",1.36483112518832
"23",0.21496520554075
"24",0.469671407153896
"25",0.40954588944544
"26",2.44518308910722
"27",10.2077481091176
"28",0.0436898910978698
"29",1.50754251828619
"30",-6.80979355368248
"31",1.50821784593734
"32",-0.577946414417397
"33",-5.89086574035093
"34",3.43219410470113
"35",0.620794795712925
"36",9.78589684627451
"37",1.13760008837653
"38",8.96571803972125
"39",5.4662285738749
"40",0.22569876536943
"41",-4.02553213357203
"42",0.405199677087921
"43",7.00437272670166
"44",0.23268009259283
"45",7.52092173570418e-05
"46",0.00985628659276472
"47",2.02418526823351
"48",1.98993794825452
"49",7.89881246128917
"50",2.85794548554264
"51",2.65936100735564
"52",3.41095822278567
"53",0.778511292532357
"54",1.7190694147597
"55",0.0162056029407722
"56",0.382358772107239
"57",0.519840060519982
"58",0.0295938302933223
"59",0.05974561032167
"60",-0.851798309186307
"61",3.88958908109356
"62",1.9880543111596
"63",3.95431050569084
"64",0.0221625837419879
"65",2.81660462809816
"66",0.0647850377851853
"67",-1.90476082265633
"68",1.36141882142817
"69",0.645394253572533
"70",1.14002273716903
"71",0.514617627940254
"72",-3.63891109028367
"73",0.0497994744217749
"74",0.574649826682162
"75",0.132118446735262
"76",0.0456715619596366
"77",2.17703071942179
"78",0.213222852700653
"79",1.91907819386506
"80",0.0762960792354761
"81",2.57168825362567
"82",0.457026213444919
"83",3.60175708630697
"84",3.96302964581054
"85",0.00540222312008609
"86",0.186127260630485
"87",0.286160133311341
"88",0.668835423926055
"89",0.501362319681022
"90",5.48491505572662
"91",0.0240569267574529
"92",2.30733881944951
"93",0.0595154618876848
"94",6.34420736351746
"95",6.17365834282703
"96",0.182406720142012
"97",0.906892855259144
"98",3.4172934979789
"99",2.4296621712474
"100",0.402651552739258
