"","test$LRT"
"1",0.766713475061579
"2",4.89867635637682
"3",0.173001270476391
"4",0.185019323142853
"5",1.27120098591348
"6",0.00466238831830879
"7",0.10736779983182
"8",4.54256103305926
"9",0.000810328408419991
"10",0.605928830533799
"11",1.27404493772912
"12",0.800865625343022
"13",4.683589575388
"14",6.30108022505738e-05
"15",0.457916079659071
"16",0.00352365340717142
"17",0.0258579820260252
"18",0.446097717733778
"19",0.00595700601957105
"20",3.56331896359734
"21",0.153318527047475
"22",0.100640825993651
"23",0.00289384400906556
"24",0.540016810719465
"25",1.10573367884069
"26",0.15925595939467
"27",0.00454512181073596
"28",0.346304871538791
"29",0.000714040883281086
"30",0.0500105375249973
"31",0.740290087384835
"32",-0.928138792538675
"33",3.47744182325181
"34",0.0238450655137967
"35",0.0143699107267139
"36",0.249789768216885
"37",2.03372263003615
"38",2.98251105058944
"39",0.0781921695199799
"40",3.51438964791885
"41",0.0268075690073033
"42",0.488056989810218
"43",0.217790743066814
"44",1.64882577324357
"45",0.0508700396369477
"46",0.544556534496962
"47",0.143483611239958
"48",1.77159804122834
"49",1.37001238357539
"50",0.075467400811192
"51",0.161631041158103
"52",0.00108395642007508
"53",0.144895651256775
"54",-2.9034970282554
"55",6.48970984866145
"56",3.13652139531803
"57",0.283692168445953
"58",0.423006951784487
"59",0.0198703758910597
"60",1.09235179844814
"61",0.260612636467783
"62",1.88211940360975
"63",1.33974246201825
"64",2.30012862766898
"65",0.552381397198758
"66",0.025472599608463
"67",0.531358542702492
"68",2.14296815930902
"69",0.899022478460836
"70",1.30182496034172
"71",1.39207154497456
"72",0.16755115228375
"73",0.0112031817581055
"74",1.0212466816285
"75",1.50229662697694
"76",0.766673737222959
"77",0.113199990490386
"78",0.107103013700453
"79",0.79783280721
"80",0.476430441503624
"81",0.00503929210509568
"82",0.553500592493776
"83",1.3347734155617
"84",1.87142966906856
"85",1.61968744899741
"86",0.185867825366131
"87",0.994016892931484
"88",0.0281337299539928
"89",0.0315948944208913
"90",0.480417354555584
"91",0.438032934250373
"92",2.04321104347235
"93",0.140698444908708
"94",1.6483590704313
"95",1.18766378333191
"96",0.768643640431378
"97",0.323209794951595
"98",0.436406115545708
"99",0.199995719858975
"100",105.601625315479
