"","x"
"1",41.4471424807182
"2",33.7838815584363
"3",36.3646871540183
"4",12.779520398633
"5",21.394059421447
"6",28.6837518932813
"7",31.764610894308
"8",37.4976449053873
"9",19.9470863729424
"10",17.7335450838684
"11",24.6762450228426
"12",37.0117479299064
"13",13.8433888730005
"14",21.4201590669695
"15",17.2453571496686
"16",34.1143958256521
"17",25.6064233321446
"18",31.4158798619283
"19",20.0217640230236
"20",39.2581705326266
"21",32.2474798394979
"22",22.3549983302762
"23",14.2301242025636
"24",18.8520379468293
"25",20.5274210934049
"26",19.2371696775577
"27",28.3918397528842
"28",13.4540308258807
"29",31.7914168791958
"30",22.2611855941176
"31",23.0656281319147
"32",20.8046146756098
"33",21.8483958221226
"34",33.9930605403017
"35",17.5795916184883
"36",28.8429104081644
"37",21.1370267401909
"38",24.9783303809909
"39",19.675374619391
"40",25.9609531491462
"41",44.0348049466689
"42",7.40367736191268
"43",26.5836926235926
"44",29.2229402179026
"45",24.1826556868805
"46",37.8051984020994
"47",38.1917777142539
"48",35.0246139419808
"49",31.7064311270998
"50",29.8792484323151
"51",17.8499323290325
"52",38.6304567155253
"53",20.7224880447604
"54",8.54976145621788
"55",37.9494269025097
"56",34.4790824833033
"57",26.6942786751472
"58",23.105652665388
"59",31.6567632892684
"60",9.03524625949728
"61",24.5835698376619
"62",33.8397104848646
"63",34.2598732698667
"64",27.771376393061
"65",24.1185698061981
"66",28.3227325467891
"67",24.3509223589864
"68",21.6740673533736
"69",34.1203204607357
"70",19.7526108320151
"71",29.8099615697524
"72",13.9537630420488
"73",20.3618585182151
"74",19.187349155204
"75",44.5852856745393
"76",37.6997582666859
"77",19.7806299228416
"78",16.4115691027571
"79",44.9103077620388
"80",22.9127637598304
"81",11.7530840643466
"82",8.604728012365
"83",17.0656225117544
"84",24.6302508568547
"85",34.3749598248552
"86",40.8493024131219
"87",17.2731213005691
"88",28.2622911864403
"89",16.1193693791909
"90",15.5367043761932
"91",21.1609921007785
"92",20.281702859415
"93",21.6935388073325
"94",16.6330078971192
"95",14.4098071516023
"96",24.4857596660559
"97",18.659086585896
"98",34.6851018235946
"99",18.4673909239743
"100",29.8952676652766
