"","test$LRT"
"1",35.1293531407459
"2",38.739767136705
"3",28.4095316679766
"4",41.0312910690417
"5",28.4408242469765
"6",35.0954338979787
"7",33.410396959426
"8",25.8478597946632
"9",37.4489033488216
"10",33.9915033378041
"11",38.3343873075489
"12",35.825149002386
"13",33.9419512022036
"14",21.2981013924797
"15",32.1022971855115
"16",41.5100397403773
"17",32.1685806965914
"18",31.7179458534195
"19",27.6990402066023
"20",41.0102606004926
"21",33.1785044928047
"22",38.2664853246309
"23",31.1241803089127
"24",39.464632547886
"25",32.1457760908025
"26",26.7304191198327
"27",43.6989317795526
"28",36.9751882514251
"29",36.1463328587218
"30",29.7151871975422
"31",37.446967593872
"32",41.7989563114068
"33",38.667135029825
"34",29.3284360331982
"35",37.0401884226945
"36",41.436080198241
"37",34.7127020362177
"38",38.2483108156046
"39",38.036354270481
"40",26.0335826179529
"41",43.9589117619189
"42",24.3879406661048
"43",39.2359265440677
"44",32.4620950056706
"45",39.6603139269972
"46",39.2386496840867
"47",42.4156094840375
"48",32.8605139556017
"49",35.1929688328861
"50",35.2609119901631
"51",50.105527133802
"52",49.4695379293357
"53",34.1690848939589
"54",42.3955598726642
"55",40.3782560723079
"56",38.0818607912649
"57",34.1533991248172
"58",31.7399801627123
"59",29.4724228902603
"60",30.4831524481265
"61",37.0751364597332
"62",48.897204149037
"63",33.3152043829516
"64",24.7946394871299
"65",43.2101826686441
"66",32.472113016904
"67",37.4529615834619
"68",29.6208920219841
"69",39.5218502973393
"70",40.4370069845402
"71",28.3047912880488
"72",30.1427909124559
"73",31.0397772426627
"74",40.0890958015581
"75",33.070077063078
"76",31.0287467161953
"77",37.4739342037693
"78",33.4443062626611
"79",39.9728397244144
"80",33.9203548274669
"81",31.3806952411728
"82",22.4309800975489
"83",31.4494808720486
"84",50.7706628909093
"85",40.5077882781769
"86",24.2537258910083
"87",32.014131682782
"88",40.8799989623879
"89",33.2860836635395
"90",36.7842392378066
"91",33.3900401610662
"92",36.2407641405284
"93",38.1486728154883
"94",28.9220482478
"95",30.0654670361525
"96",26.7084943524408
"97",42.6036355795411
"98",30.0781529530837
"99",57.440067519422
"100",25.9955822183691
